config,query,kernel_total_ms,sync_total_ms,sync_per_kernel,h2d_bytes,kernel_gap_p50_us,kernel_gap_p95_us,top5_kernels
native,1,1468.28,3749.96,2.554,5804297210,117.1,4116.0,cudf::groupby::detail::hash::<unnamed>::single_pass_shmem_ag|881714054|77;void cudf::groupby::detail::hash::mapping_indices_kernel<cuc|161276513|77;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|90131685|1152;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|50937320|150;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|32215344|576
native,10,808.1,4341.53,5.373,7313962506,218.8,1498.0,void cub::detail::transform::transform_kernel<cub::detail::t|66825245|149;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|61207147|164;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|58765698|669;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|54614680|157;sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|48359625|157
native,11,45.37,102.58,2.261,630042423,143.3,5845.2,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|15096739|8;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|10068976|109;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|8319441|8;void cub::detail::for_each::static_kernel<cub::detail::for_e|6131349|8;void cub::detail::transform::transform_kernel<cub::detail::t|1307934|36
native,12,258.66,1025.51,3.965,5800429094,64.0,5378.8,void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|38627366|564;void cub::detail::for_each::static_kernel<cub::detail::for_e|28704547|251;sirius::cuda::scan::kernel_gather_dict(const sirius::cuda::s|26659660|229;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|22760146|11;void cub::detail::for_each::static_kernel<cub::detail::for_e|18788358|240
native,13,753.22,2505.62,3.327,3395591478,139.6,7646.4,sirius::cuda::scan::kernel_gather_fsst_chunked(const sirius:|187231289|153;void cub::detail::transform::transform_kernel<cub::detail::t|184391910|41;void cuco::detail::open_addressing_ns::insert_if_n<(int)2, (|104875386|2;void cudf::strings::detail::gather_chars_fn_string_parallel<|60985870|41;sirius::cuda::scan::kernel_compute_lengths_fsst(const sirius|53341471|153
native,14,114.82,503.9,4.389,5928069853,84.8,6738.7,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|44918243|515;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12122342|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|8231730|44;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|6770420|4;void cub::detail::for_each::static_kernel<cub::detail::for_e|5427994|44
native,15,114.53,500.13,4.367,6426483320,81.1,6867.7,void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|44968078|508;void cub::detail::for_each::static_kernel<cub::detail::for_e|14161511|48;void sirius::cuda::scan::kernel_decode_bitpacking_batched<in|12336619|169;void cub::detail::for_each::static_kernel<cub::detail::for_e|8314994|44;void cub::detail::for_each::static_kernel<cub::detail::for_e|5389908|44
native,16,217.45,889.65,4.091,381855217,152.6,5333.0,void cub::detail::merge_sort::DeviceMergeSortBlockSortKernel|56247324|10;void cub::detail::merge_sort::DeviceMergeSortMergeKernel<cub|49183400|73;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|19138301|9;void cub::detail::batch_memcpy::BatchMemcpyKernel<cub::detai|13173512|24;void cub::detail::merge_sort::DeviceMergeSortPartitionKernel|11719264|73
native,17,340.93,1377.73,4.041,8843648558,202.3,11264.8,void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|165722077|62;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|85857610|62;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|71891622|648;void cudf::detail::<unnamed>::fused_concatenate_kernel<long,|6211321|24;void cub::detail::transform::transform_kernel<cub::detail::t|2138784|225
native,18,575.92,3442.34,5.977,6850594677,250.1,8612.5,void cub::detail::for_each::static_kernel<cub::detail::for_e|261304433|62;void cuco::detail::open_addressing_ns::retrieve<(bool)0, (in|76873123|35;void sirius::cuda::scan::kernel_decode_bitpacking_batched<lo|65147678|526;void cuco::detail::open_addressing_ns::count<(bool)0, (int)2|37207141|35;void cub::detail::transform::transform_kernel<cub::detail::t|33458887|214
